BASIN,01FFG2018021312
2004701271,57.27
2004701272,46.84
2004701273,53.78
2004701274,52.32
2004701275,55.79
2004701276,112.75
2004701277,70.97
2004701278,57.25
2004701279,74.44
2004701280,55.15
2004701281,63.78
2004701282,47.02
2004701283,69.64
2004701284,57.24
2004701285,48.54
2004701286,48.03
2004701287,46.71
2004701288,46.55
2004701289,44.3
2004701290,54.96
2004701291,90.22
2004701292,61.9
2004701293,85.32
2004701294,88.39
2004701295,59.38
2004701296,73.81
2004701297,67.34
2004701298,44.27
2004701299,82.59
2004701300,81.35
2004701301,73.35
2004701302,65.51
2004701303,69.12
2004701304,69.06
2004701305,69.09
2004701306,51.45
2004701307,45.48
2004701308,48.3
2004701309,123.48
2004701310,52.75
2004701311,77.24
2004701312,58.36
2004701313,78.38
2004701314,76.31
2004701315,74.15
2004701316,70.98
2004701317,69.88
2004701318,64.44
2004701319,58.56
2004701320,53.72
2004701321,54.14
2004701322,92.67
2004701323,39.55
2004701324,47.91
2004701325,51.12
2004701326,51.86
2004701327,57.18
2004701328,75.1
2004701329,52.64
2004701330,65.01
2004701331,60.54
2004701332,52.62
2004701333,92.39
2004701334,88.94
2004701335,61.56
2004701336,64.15
2004701337,75.99
2004701338,74.17
2004701339,52.99
2004701340,53.08
2004701341,53.05
2004701342,59.98
2004701343,60.82
2004701344,80.57
2004701345,68.41
2004701346,81.54
2004701347,87.87
2004701348,52.52
2004701349,63.65
2004701350,67.45
2004701351,82.07
2004701352,67.47
2004701353,77.14
2004701354,66.7
2004701355,63.94
2004701356,61.43
2004701357,65.3
2004701358,64.64
2004701359,73.33
2004701360,73.5
2004701361,73.28
2004701362,69.62
2004701363,84.47
2004701364,74.27
2004701365,64.56
2004701366,74.04
2004701367,72.62
2004701368,70.62
2004701369,71.94
2004701370,70.8
2004701371,69.2
2004701372,69.63
2004701373,63.45
2004701374,67.39
2004701375,82.38
2004701376,108.57
2004701377,76.94
2004701378,88.46
2004701379,80.6
2004701380,84.69
2004701381,83.24
2004701382,58.72
2004701383,79.81
2004701384,54.95
2004701385,70.82
2004701386,64.47
2004701387,60.86
2004701388,63.17
2004701389,64.75
2004701390,64.61
2004701391,64.77
2004701392,45.83
2004701393,53.39
2004701394,65.25
2004701395,64.62
2004701396,63.8
2004701397,53.87
2004701398,53.22
2004701399,60.05
2004701400,60.16
2004701401,61.08
2004701402,55.03
2004701403,68.63
2004701404,53.92
2004701405,67.65
2004701406,52.77
2004701407,66.2
2004701408,64.39
2004701409,67.84
2004701410,77.61
2004701411,79.75
2004701412,44.15
2004701413,75.82
2004701414,63.53
2004701415,82.4
2004701416,66.79
2004701417,59.15
2004701418,73.5
2004701419,89.04
2004701420,67.03
2004701421,86.39
2004701422,62.73
2004701423,58.52
2004701424,55.33
2004701425,62.88
2004701426,81.69
2004701427,77.64
2004701428,72.31
2004701429,65.06
2004701430,59.21
2004701431,58.75
2004701432,66.65
2004701433,60.25
2004701434,55.09
2004701435,56.43
2004701436,53.67
2004701437,73.51
2004701438,71.77
2004701439,70.17
2004701440,44.35
2004701441,59.81
2004701442,59.08
2004701443,52.23
2004701444,51.68
2004701445,51.49
2004701446,53.57
2004701447,50.55
2004701448,51.72
2004701449,48.81
2004701450,44.3
2004701451,69.52
2004701452,64.97
2004701453,80.51
2004701454,58.15
2004701455,76.89
2004701456,70.44
2004701457,61.7
2004701458,49.4
2004701459,50.33
2004701460,66.56
2004701461,44.3
2004701462,79.6
2004701463,44.25
2004701464,79.27
2004701465,78.88
2004701466,54.09
2004701467,53.57
2004701468,44.3
2004701469,53.16
2004701470,44.29
2004701471,51.58
2004701472,62.49
2004701473,49.32
2004701474,44.25
2004701475,44.22
2004701476,44.25
2004701477,68.96
